1421356318.658111 ccnd[4964]: CCND_DEBUG=7 CCND_CAP=1750
1421356318.658268 ccnd[4964]: listening on /tmp/.ccnd.sock.63001
1421356318.658318 ccnd[4964]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1421356318.658357 ccnd[4964]: accepting ipv4 connections on fd 5
1421356318.658392 ccnd[4964]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1421356318.658425 ccnd[4964]: accepting ipv6 connections on fd 7
1421356318.663625 ccnd[4964]: debug.2509 prefix,ff=3 0 ccnx:/ccnx/ping (16 bytes)
1421356318.663806 ccnd[4964]: debug.2509 prefix,ff=3 0 ccnx:/%C1.M.S.localhost/%C1.M.SRV/ccnd (37 bytes)
1421356318.663831 ccnd[4964]: debug.2509 prefix,ff=3 0 ccnx:/%C1.M.S.neighborhood (24 bytes)
1421356318.663857 ccnd[4964]: debug.2509 prefix,ff=3 0 ccnx:/%C1.M.S.neighborhood/guest (32 bytes)
1421356318.663877 ccnd[4964]: debug.2509 prefix,ff=3 0 ccnx:/%C1.M.FACE (13 bytes)
1421356318.663920 ccnd[4964]: debug.2509 prefix,ff=0x17 0 ccnx:/ccnx/r%96.%171-=7F01A03E1C42ABDC28F9EF621AA9FE4D1F2232E799B2CD4C238A (45 bytes)
1421356318.663938 ccnd[4964]: debug.2509 prefix,ff=0x23 0 ccnx:/%C1.M.S.localhost (20 bytes)
1421356318.708844 ccnd[4964]: accepted client fd=8 id=6
1421356318.708927 ccnd[4964]: shutdown client fd=8 id=6
1421356318.708939 ccnd[4964]: recycling face id 6 (slot 6)
1421356318.709791 ccnd[4964]: accepted client fd=8 id=6
1421356318.711170 ccnd[4964]: debug.4492 content_from 6 ccnx:/parc.com/csl/ccn/Repos/data/policy.xml/=FD054AE7A60553/=00/=267BE42C9A963B5CE545BDE0E77F9344AE1014F0EBA341393214DEE1E396684F (505 bytes)
1421356318.711294 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=00/G=F10DC00620EAF1193054C8DB587ECF8A30E95E06BB4FD3F0EB46A2A0309A2F (4505 bytes)
1421356318.711420 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0001/%F5Vd%965W=D0F346F12529C660DCBEAD2B05DC728FBE0040AFAD9A9CF47EF6 (4506 bytes)
1421356318.711514 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0002/%DBV%8FD%D84%F5p=B4BAF0323BAB4827BD92946688D2C6D24C97BCF83171AD4F (4506 bytes)
1421356318.711608 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0003/=8DB230A632948228E055A463F2A12C4FF8F12B2699B97ACD084362A44C48EFFA (4506 bytes)
1421356318.711708 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0004/=A23D342872FAAB2BE151A2FF3DAA09AD208A7D2E2108AC889548226674E6829B (4506 bytes)
